Москва,55° 45' 18'' N,37° 37' 1.2'' E,https://www.wikidata.org/wiki/Q649,
Петербург,59° 57' 0'' N,30° 18' 57.6'' E,https://www.wikidata.org/wiki/Q656,
Тула,54° 12' 0'' N,37° 36' 57.6'' E,https://www.wikidata.org/wiki/Q2770,
Одесса,46° 29' 6'' N,30° 44' 34.8'' E,https://www.wikidata.org/wiki/Q1874,
Омск,54° 57' 57.6'' N,73° 22' 58.8'' E,https://www.wikidata.org/wiki/Q898,
Ораниенбаум,59° 55' 1.2'' N,29° 46' 19.2'' E,https://www.wikidata.org/wiki/Q4335661,
Орел,52° 57' 57.6'' N,36° 4' 58.8'' E,https://www.wikidata.org/wiki/Q3118,
Оренбург,51° 45' 57.6'' N,55° 6' 0'' E,https://www.wikidata.org/wiki/Q5337,
Батум,41° 38' 42'' N,41° 38' 27.6'' E,https://www.wikidata.org/wiki/Q25475,
Палермо ,38° 6' 54'' N,13° 21' 39.6'' E,https://www.wikidata.org/wiki/Q2656,
Париж,48° 51' 21.6'' N,2° 21' 3.6'' E,https://www.wikidata.org/wiki/Q90,
Пекин,39° 54' 18'' N,116° 23' 27.6'' E,https://www.wikidata.org/wiki/Q956,
Пенза,53° 12' 0'' N,45° 0' 0'' E,https://www.wikidata.org/wiki/Q5540,
Пермь,58° 0' 46.8'' N,56° 14' 52.8'' E,https://www.wikidata.org/wiki/Q915,
Петергоф,59° 52' 58.8'' N,29° 53' 60'' E,https://www.wikidata.org/wiki/Q178310,
Бахчисарай,44° 45' 7.2'' N,33° 51' 36'' E,https://www.wikidata.org/wiki/Q158604,
Петрозаводск,64° 49' 48'' N,17° 59' 13.2'' W,https://www.wikidata.org/wiki/Q189,
Пиза ,43° 42' 57.6'' N,10° 24' 0'' E,https://www.wikidata.org/wiki/Q13375,
Полоцк,55° 28' 58.8'' N,28° 48' 0'' E,https://www.wikidata.org/wiki/Q200797,
Помпея,40° 45' 0'' N,14° 29' 20.4'' E,https://www.wikidata.org/wiki/Q43332,
Полтава,49° 34' 26.4'' N,34° 34' 4.8'' E,https://www.wikidata.org/wiki/Q156747,
Пятигорск,44° 1' 58.8'' N,43° 2' 60'' E,https://www.wikidata.org/wiki/Q41970,
Псков,57° 48' 57.6'' N,28° 19' 58.8'' E,https://www.wikidata.org/wiki/Q2214,
Прага,50° 5' 16.8'' N,14° 25' 15.6'' E,https://www.wikidata.org/wiki/Q1085,
Симферополь,44° 56' 52.8'' N,34° 6' 0'' E,https://www.wikidata.org/wiki/Q19566,
Рязань,54° 36' 57.6'' N,39° 42' 57.6'' E,https://www.wikidata.org/wiki/Q2746,
Ростов,57° 10' 58.8'' N,39° 24' 57.6'' E,https://www.wikidata.org/wiki/Q193342,
Ростов-на-Дону,47° 13' 58.8'' N,39° 42' 57.6'' E,https://www.wikidata.org/wiki/Q908,
Рим,41° 53' 34.8'' N,12° 28' 55.2'' E,https://www.wikidata.org/wiki/Q220,
Самара,53° 10' 58.8'' N,50° 6' 57.6'' E,https://www.wikidata.org/wiki/Q894,
Самарканд,39° 39' 14.4'' N,66° 57' 32.4'' E,https://www.wikidata.org/wiki/Q5753,
Саратов,51° 31' 58.8'' N,46° 0' 0'' E,https://www.wikidata.org/wiki/Q5332,
Смоленск,54° 46' 55.2'' N,32° 2' 42'' E,https://www.wikidata.org/wiki/Q2337,
Берлин,52° 30' 57.6'' N,13° 22' 58.8'' E,https://www.wikidata.org/wiki/Q64,
Берн,46° 57' 0'' N,7° 26' 16.8'' E,https://www.wikidata.org/wiki/Q70,
Турин ,45° 3' 57.6'' N,7° 42' 0'' E,https://www.wikidata.org/wiki/Q495,
Плевна,43° 24' 25.2'' N,24° 37' 12'' E,https://www.wikidata.org/wiki/Q165420,
Познань ,52° 23' 60'' N,16° 54' 57.6'' E,https://www.wikidata.org/wiki/Q268,
Милан ,45° 27' 50.4'' N,9° 11' 24'' E,https://www.wikidata.org/wiki/Q490,
Канны ,43° 33' 7.2'' N,7° 1' 15.6'' E,https://www.wikidata.org/wiki/Q39984,
Болонья ,44° 29' 34.8'' N,11° 20' 31.2'' E,https://www.wikidata.org/wiki/Q1891,
Монтре ,46° 25' 58.8'' N,6° 54' 57.6'' E,https://www.wikidata.org/wiki/Q69354,
Балаклава,44° 30' 18'' N,33° 35' 49.2'' E,https://www.wikidata.org/wiki/Q748363,
Нижний-Новгород,56° 19' 33.6'' N,44° 0' 25.2'' E,https://www.wikidata.org/wiki/Q891,
Новгород,58° 31' 30'' N,31° 16' 30'' E,https://www.wikidata.org/wiki/Q2235,
Кострома,57° 45' 57.6'' N,40° 55' 58.8'' E,https://www.wikidata.org/wiki/Q2592,
Курск,51° 42' 57.6'' N,36° 10' 58.8'' E,https://www.wikidata.org/wiki/Q3159,
Кронштадт,60° 0' 0'' N,29° 45' 57.6'' E,https://www.wikidata.org/wiki/Q155863,
Кутаис,42° 15' 0'' N,42° 42' 0'' E,https://www.wikidata.org/wiki/Q172415,
Афины,37° 58' 44.4'' N,23° 42' 57.6'' E,https://www.wikidata.org/wiki/Q1524,
Лиссабон,38° 42' 57.6'' N,9° 10' 1.2'' W,https://www.wikidata.org/wiki/Q597,
Лозанна,46° 31' 58.8'' N,6° 37' 58.8'' E,https://www.wikidata.org/wiki/Q807,
Лондон,51° 30' 54'' N,0° 5' 34.8'' W,https://www.wikidata.org/wiki/Q23311,
Лос-Анжелос,34° 2' 60'' N,118° 15' 0'' W,https://www.wikidata.org/wiki/Q65,
Ашхабад,37° 57' 0'' N,58° 22' 58.8'' E,https://www.wikidata.org/wiki/Q23438,
Люблин,51° 13' 58.8'' N,22° 33' 57.6'' E,https://www.wikidata.org/wiki/Q37333,
Авиньон,43° 56' 52.8'' N,4° 48' 28.8'' E,https://www.wikidata.org/wiki/Q6397,
Багдад,33° 21' 0'' N,44° 24' 57.6'' E,https://www.wikidata.org/wiki/Q1530,
Баден-Баден,48° 45' 39.6'' N,8° 14' 24'' E,https://www.wikidata.org/wiki/Q4100,
Ачинск,56° 15' 57.6'' N,90° 30' 0'' E,https://www.wikidata.org/wiki/Q104232,
Магдебург,52° 7' 58.8'' N,11° 36' 57.6'' E,https://www.wikidata.org/wiki/Q1733,
Мариенбург,54° 1' 58.8'' N,19° 3' 0'' E,https://www.wikidata.org/wiki/Q146820,
Марсель,43° 17' 45.6'' N,5° 22' 33.6'' E,https://www.wikidata.org/wiki/Q23482,
Баку,40° 21' 57.6'' N,49° 50' 6'' E,https://www.wikidata.org/wiki/Q9248,
Мельбурн,37° 49' 15.6'' S,144° 57' 39.6'' E,https://www.wikidata.org/wiki/Q3141,
